ITEM;PARTIDA
IMPRESIÓN DE TALONARIOS DE FACTURAS VISITANTES EXTRANJEROS;25600
IMPRESIÓN DE TALONARIOS DE FACTURAS VISITANTES NACIONALES;25600
CONTRATACION DE PASANTIAS;26930
CONTRATACIÓN DE SERVICIOS ARTÍSTICOS PARA INTERACCIÓN CON LOS VISITANTES AL MUSEO;26990
TRANSCRIPCION DE MATERIAL DE APOYO EN  SISTEMA BRAILLE  EN SOPORTE CARTULINA;26990
DIBUJO DE HISTORIETAS  PARA LA CREACIÓN DE CARTILLAS EDUCATIVAS;26990
TRADUCCIÓN DE AUDIOVISUALES EN LENGUA DE SEÑAS;26990
IMPRESIÓN DE TALONARIOS DE BOLETOS;25600
IMPRESIÓN DE TALONARIOS DE BOLETOS;25600
ADQUISICIÓN DE LIBROS Y TEXTOS HISTÓRICOS ACTUALES PARA LA BIBLIOTECA;32300
IMPRESIÓN DE TALONARIOS DE FACTURA MANUALES TASA CERO;25600
IMPRESIÓN DE TALONARIOS DE FACTURAS MANUALES CON CREDITO FISCAL;25600
IMPRESION DE PUBLICACIONES CDL, SIN EXISTENCIAS EN ALMACEN;25600
PASAJES AÉREOS SUCRE-STA CRUZ-SUCRE  (REVOLUCIONES);22110
VIÁTICOS  SANTA CRUZ  CCP  (REVOLUCIONES);22210
FLETE TERRESTRE PARA TRASLADO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
PASAJES AÉREOS SUCRE-LA PAZ-SUCRE  ( (REVOLUCIONES);22110
VIÁTICOS  LA PAZ (REVOLUCIONES);22210
FLETE TERRESTRE PARA TRASLADO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
PASAJES TERRESTRE SUCRE-POTOSÍ-SUCRE  ( (REVOLUCIONES);22110
VIÁTICOS  POTOSÍ  (REVOLUCIONES);22210
FLETE TERRESTRE PARA TRASLADO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
PASAJES AÉREOS SUCRE-COBIJA-SUCRE  (REVOLUCIONES);22110
VIÁTICOS  COBIJA (REVOLUCIONES);22210
FLETE TERRESTRE PARA TRASLADO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
PASAJES AÉREOS SUCRE-TRINIDAD-SUCRE  ( (REVOLUCIONES);22110
VIÁTICOS TRINIDAD (REVOLUCIONES);22210
FLETE TERRESTRE PARA TRASLADO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
PASAJES TERRESTRE SUCRE-ORURO-SUCRE  ( (REVOLUCIONES);22110
VIÁTICOS  ORURO (REVOLUCIONES);22210
FLETE TERRESTRE PARA RECOJO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
PASAJES AÉREOS SUCRE-COCHABAMBA-SUCRE  (REVOLUCIONES);22110
VIÁTICOS  COCHABAMBA (REVOLUCIONES);22210
FLETE TERRESTRE PARA RECOJO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
PASAJES AÉREOS SUCRE-TARIJA-SUCRE  ( (REVOLUCIONES);22110
VIÁTICOS  TARIJA (REVOLUCIONES);22210
FLETE TERRESTRE PARA TRASLADO DE MATERIALES DE EXPOSICIÓN (REVOLUCIONES);22300
ÚTILES EDUCACIONALES, CULTURALES Y DE CAPACITACIÓN: ADQUISICIÓN DE UN VIDEO DOCUMENTAL SOBRE LA HISTORIA, COSMOVISIÓN Y CULTURA AYOREA.;39600
CUENTO PARA NIÑOS;25600
COEDICIONES;25600
LA IGLESIA VIRREINAL EN BOLIVIA. HISTORIA FOTOGRÁFICA;25600
WEENHAYEK;25600
IMPRESIÓN DE 40 FOTOGRAFIAS EN SOPORTE PAY. ;25600
"CONSULTORIA INDIVIDUAL DE LINEA ""PERSONAL DE APOYO - CURADOR""";25220
"CONSULTORIA INDIVIDUAL DE LINEA ""PERSONAL DE APOYO - MUSEOGRAFO""";25220
TRANSPORTE DE PERSONAL CDL PARA COORDINAR Y DESARROLLAR LA ACTIVIDAD;22600
ADQUISICIÓN DE SCANNER;43120
GUANTES DE LATEX ;33300
BARBIJO;33300
BASTIDORES MADERA CEDRO;31300
CARBONATO DE CALCIO;34200
ADHESIVO COLA DE CONEJO;39990
PAPEL DE LIMPIEZA SECANTE ;39100
IMPRESIÓN DE TALONARIOS DE BOLETOS;25600
PASAJE SUCRE-SANTA CRUZ - SUCRE ;22110
VÍATICOS ROBORE - FORTIN RAVELO;22210
FLETE SUCRE- ROBORE - FORTIN RAVELO - SUCRE ;22300
PASAJE SUCRE-SANTA CRUZ - SUCRE ;22110
VÍATICOS ISOSO;22210
FLETE SUCRE- ISOSO- SUCRE ;22300
CONTRATACIÓN DE SERVICIOS ARTÍSTICOS PARA PRESENTACIONES DE MÚSICA, TEATRO Y OTROS.;26990
PASAJES AÉREOS IDA Y VUELTA PARA 4 REUNIONES DE LA FCBCB.;22110
"VIATICOS AL INTERIOR DEL PAIS 
DIRECCION - 4 REUNIONES POR 3 DIAS";22210
